Samsung;Подача и захват бумаги;JC73-00295A;Резиновый элемент на ролик захвата бумаги из обходного лотка;1 шт. / в узле 2 шт.;;383;samsung\JC73-00295A.jpg
Samsung;Подача и захват бумаги;JC73-00328A;Резиновый элемент на ролик отделения бумаги в лотке ручной подачи*;(лоток 1)* для Samsung ML-3310 / 3312 / 3710 / 3712 / SCX-4833 / 4835 / 5637 / 5639 / 5737 / 5739 / Xerox Phaser 3320 / 3330 / WorkCentre 3315 / 3325 / 3335 / 3345 в том числе и в кассете (лоток 2);;431;samsung\JC73-00328A.jpg
Samsung;Подача и захват бумаги;JC90-01080A;Узел захвата бумаги из обходного лотка, в сборе;;;2497;
Samsung;Подача и захват бумаги;JC97-02259A;Ролик захвата бумаги, в сборе;;;245;samsung\JC97-02259A.jpg
CET;Подача и захват бумаги;CET7911;Резина ролика захвата бумаги;;;;samsung\CET7911.jpg
Samsung;Внутренние компоненты;6107-001159;Торсионная пружина в узле выхода бумаги;;;268;
Samsung;Узел переноса;JC93-00393A;Вал переноса заряда;;;2665;samsung\JC93-00393A.jpg
Samsung;Электронные компоненты;JC31-00078A;Мотор;;;1639;
Samsung;Электронные компоненты;JC97-03877A;Блок лазера;;;4846;
Samsung;Узел термозакрепления;JC91-01177A;Печь, в сборе;220В / Ресурс: до 150,000 стр.;;16768;samsung\JC91-01177A.jpg
Samsung;Узел термозакрепления;JC66-02037B;Термоплёнка;;;;
