Brother;Внутренние компоненты;LV1003001;Плоский кабель к плате мотора;;;;
Brother;Внутренние компоненты;LV1011001;Плоский кабель к блоку лазера;;;;
Brother;Электронные компоненты;LV1004001;Датчик сброса тонер-картриджа, в сборе;;;;
Brother;Электронные компоненты;LV1481001;Плата датчика мотора, в сборе;;;;
Brother;Электронные компоненты;LV0996001;Датчик узла выхода бумаги, в сборе;;;;
Brother;Электронные компоненты;LV1002001;Плата датчика узла подачи бумаги, в сборе;;;;
Brother;Электронные компоненты;LJA440001;Блок лазера;;;;
Brother;Электронные компоненты;LV0994001;Плата низковольтного питания;220В;;;
Brother;Электронные компоненты;LV1411001;Плата форматтера;;;;
Brother;Узел термозакрепления;LJA486001;Печь, в сборе;220В;;;
Brother;Узел термозакрепления;LEH826001;Верхняя крышка узла термозакрепления, в сборе;флажок датчика выхода бумаги в комплекте;;;
Brother;Детали корпуса;LY8028001;Передняя крышка;;;;
Brother;Детали корпуса;LY8029001;Левая крышка;;;;
Brother;Детали корпуса;LY8303001;Крышка выхода бумаги;;;;
Brother;Детали корпуса;LU5693001;Винт;M4X12;;;
Brother;Детали корпуса;LU7320001;Наклейка;13X50;;;
Brother;Детали корпуса;LY8178001;Наклейка высокая температура;(13X30);;;
Brother;Детали корпуса;LJA011001;Основание передвижного ограничителя формата бумаги в лотке подачи;без стопора;;;
Brother;Детали корпуса;LJA012001;Стопор ограничителя формата бумаги в лотке подачи;;;;
Brother;Детали корпуса;LJA069001;Зажим ограничителя формата бумаги в лотке подачи;;;;
Brother;Детали корпуса;LJA014001;Верхняя крышка, в сборе;;;;
Brother;Детали корпуса;LJA017001;Основная откидная часть крышки для поддержки бумаги в узле выхода;;;;
Brother;Детали корпуса;LJA236001;Задняя крышка;;;;
Brother;Детали корпуса;LJA071001;Основной лоток подачи бумаги;;;;
Brother;Детали корпуса;LJA419001;Правая крышка, в сборе;;;;
