Brother;Узел автоматической подачи оригиналов;LX9358001;Узел захвата бумаги из автоподатчика документов, в сборе;;;2575;brother\LX9358001.jpg
Brother;Узел автоматической подачи оригиналов;LX9748001;Площадка отделения бумаги в узле автоматической подачи документов;;;887;brother\LX9748001.jpg
Brother;Внутренние компоненты;LY4380001;Муфта вращения шестерни блока проявки;;;1048;brother\LY4380001.jpg
Brother;Внутренние компоненты;LY4382001;Шестерня; (37 зубов) привода блока проявки;;151;brother\LY4382001.jpg
Brother;Внутренние компоненты;LY4332001;Электромагнитная муфта узла регистрации;;;1256;brother\LY4332001.jpg
Brother;Внутренние компоненты;LT1741001;Шлейф сканирующей линейки автоподатчика;;;297;
Brother;Внутренние компоненты;LY4450001;Шестерня привода узла термозакрепления;39 зубов;;411;
Brother;Внутренние компоненты;LY4447001;Шестерня привода узла термозакрепления;23/40 зубов;;134;brother\LY4447001.jpg
Brother;Внутренние компоненты;LEJ519001;Левая рама, в сборе;;;14580;brother\LEJ519001.jpg
Brother;Электронные компоненты;LY4628001;Блок лазера;;;14542;brother\LY4628001.jpg
Brother;Электронные компоненты;LT1713001;Сканирующая линейка;;;2604;
Brother;Узел термозакрепления;LU8566001;Печь, в сборе;220В;;18860;
LT;Узел термозакрепления;DPT-FILM-064;Термоплёнка;металлизированная;;;
CN;Узел термозакрепления;FILM-B5450;Термоплёнка;металлизированная;;;
CET;Узел термозакрепления;CET2801;Прижимной вал;;;2006;brother\CET2801.jpg
CET;Узел термозакрепления;CET2800;Термоплёнка;металлизированная;;2179;brother\CET2800.jpg
ELP;Узел термозакрепления;FF-B5440-1;Термоплёнка;металлизированная;;1005;
